,Name,From,To,Height,Weight,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
abdelal01 1991,Alaa Abdelnaby,1991,1995,6-10,240,22,POR,NBA,PF,5,0,2.6,0.4,1.2,.333,0.0,0.0,,0.4,1.2,.333,.333,0.0,0.0,,0.2,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.8
abdelal01 1992,Alaa Abdelnaby,1991,1995,6-10,240,23,POR,NBA,PF,8,0,3.1,0.6,1.3,.500,0.0,0.0,,0.6,1.3,.500,.500,0.3,0.5,.500,0.0,0.5,0.5,0.3,0.0,0.0,0.3,0.5,1.5
abdelal01 1993,Alaa Abdelnaby,1991,1995,6-10,240,24,BOS,NBA,PF,4,4,17.0,2.8,6.0,.458,0.0,0.0,,2.8,6.0,.458,.458,0.0,0.0,,0.5,2.8,3.3,0.3,0.0,0.3,2.3,1.8,5.5
abdulza01 1970,Zaid Abdul-Aziz,1969,1978,6-9,235,23,MIL,NBA,PF,7,,11.7,1.6,2.7,.579,,,,,,,,1.1,1.4,.800,,,3.7,0.6,,,,0.7,4.3
abdulza01 1975,Zaid Abdul-Aziz,1969,1978,6-9,235,28,HOU,NBA,C,6,,11.3,2.0,5.2,.387,,,,,,,,0.3,0.8,.400,1.2,1.7,2.8,0.5,0.2,0.5,,0.8,4.3
abdulza01 1976,Zaid Abdul-Aziz,1969,1978,6-9,235,29,SEA,NBA,C,5,,12.0,2.8,4.0,.700,,,,,,,,1.6,2.2,.727,0.8,3.4,4.2,0.4,0.0,1.0,,0.4,7.2
abernto01 1977,Tom Abernethy,1977,1981,6-7,220,22,LAL,NBA,SF,11,,19.5,1.9,4.5,.420,,,,1.9,4.5,.420,.420,2.0,2.5,.815,1.1,2.5,3.6,2.0,0.6,0.2,,1.5,5.8
abernto01 1978,Tom Abernethy,1977,1981,6-7,220,23,LAL,NBA,SF,2,,6.0,0.5,2.0,.250,,,,0.5,2.0,.250,.250,1.0,1.0,1.000,1.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,2.0
abdulma02 1994,Mahmoud Abdul-Rauf,1991,2001,6-1,162,24,DEN,NBA,PG,12,12,28.3,4.8,12.8,.370,1.0,3.1,.324,3.8,9.8,.385,.409,2.4,2.6,.935,0.3,1.3,1.5,2.5,0.4,0.1,1.2,2.4,12.9
abdulma02 1995,Mahmoud Abdul-Rauf,1991,2001,6-1,162,25,DEN,NBA,PG,3,2,25.3,4.0,11.0,.364,0.7,4.0,.167,3.3,7.0,.476,.394,4.7,4.7,1.000,0.7,1.0,1.7,1.7,0.7,0.0,2.7,2.7,13.3
abdulta01 1999,Tariq Abdul-Wahad,1998,2003,6-6,223,24,SAC,NBA,SG,5,5,19.8,3.0,6.6,.455,0.0,0.2,.000,3.0,6.4,.469,.455,2.6,3.2,.813,1.2,2.6,3.8,0.8,0.8,0.8,0.6,1.6,8.6
abdulta01 2003,Tariq Abdul-Wahad,1998,2003,6-6,223,28,DAL,NBA,SG,8,0,9.9,1.1,3.8,.300,0.0,0.3,.000,1.1,3.5,.321,.300,0.9,1.0,.875,1.4,1.4,2.8,0.9,0.0,0.0,0.1,0.8,3.1
abdursh01 2006,Shareef Abdur-Rahim,1997,2008,6-9,225,29,SAC,NBA,PF,6,0,21.5,3.8,7.2,.535,0.0,0.5,.000,3.8,6.7,.575,.535,1.5,2.5,.600,1.3,3.5,4.8,1.2,0.3,0.0,2.2,4.5,9.2
abdulka01 1970,Kareem Abdul-Jabbar,1970,1989,7-2,225,22,MIL,NBA,C,10,,43.5,13.9,24.5,.567,,,,13.9,24.5,.567,.567,7.4,10.1,.733,,,16.8,4.1,,,,2.5,35.2
abdulka01 1971,Kareem Abdul-Jabbar,1970,1989,7-2,225,23,MIL,NBA,C,14,,41.2,10.9,21.1,.515,,,,10.9,21.1,.515,.515,4.9,7.2,.673,,,17.0,2.5,,,,3.2,26.6
abdulka01 1972,Kareem Abdul-Jabbar,1970,1989,7-2,225,24,MIL,NBA,C,11,,46.4,12.6,28.9,.437,,,,12.6,28.9,.437,.437,3.5,4.9,.704,,,18.2,5.1,,,,3.2,28.7
abdulka01 1973,Kareem Abdul-Jabbar,1970,1989,7-2,225,25,MIL,NBA,C,6,,46.0,9.8,23.0,.428,,,,9.8,23.0,.428,.428,3.2,5.8,.543,,,16.2,2.8,,,,4.3,22.8
abdulka01 1974,Kareem Abdul-Jabbar,1970,1989,7-2,225,26,MIL,NBA,C,16,,47.4,14.0,25.1,.557,,,,14.0,25.1,.557,.557,4.2,5.7,.736,4.2,11.6,15.8,4.9,1.3,2.4,,2.6,32.2
abdulka01 1977,Kareem Abdul-Jabbar,1970,1989,7-2,225,29,LAL,NBA,C,11,,42.5,13.4,22.0,.607,,,,13.4,22.0,.607,.607,7.9,10.9,.725,4.6,13.1,17.7,4.1,1.7,3.5,,3.8,34.6
abdulka01 1978,Kareem Abdul-Jabbar,1970,1989,7-2,225,30,LAL,NBA,C,3,,44.7,12.7,24.3,.521,,,,12.7,24.3,.521,.521,1.7,3.0,.556,4.7,9.0,13.7,3.7,0.7,4.0,4.7,4.7,27.0
abdulka01 1979,Kareem Abdul-Jabbar,1970,1989,7-2,225,31,LAL,NBA,C,8,,45.9,11.0,19.0,.579,,,,11.0,19.0,.579,.579,6.5,7.8,.839,2.3,10.4,12.6,4.8,1.0,4.1,3.6,3.3,28.5
abdulka01 1980,Kareem Abdul-Jabbar,1970,1989,7-2,225,32,LAL,NBA,C,15,,41.2,13.2,23.1,.572,0.0,0.0,,13.2,23.1,.572,.572,5.5,7.0,.790,3.4,8.7,12.1,3.1,1.1,3.9,3.7,3.4,31.9
abdulka01 1981,Kareem Abdul-Jabbar,1970,1989,7-2,225,33,LAL,NBA,C,3,,44.7,10.0,21.7,.462,0.0,0.0,,10.0,21.7,.462,.462,6.7,9.3,.714,4.3,12.3,16.7,4.0,1.0,2.7,3.7,4.7,26.7
abdulka01 1982,Kareem Abdul-Jabbar,1970,1989,7-2,225,34,LAL,NBA,C,14,,35.2,8.2,15.8,.520,0.0,0.0,,8.2,15.8,.520,.520,3.9,6.2,.632,2.4,6.1,8.5,3.6,1.0,3.2,2.9,3.2,20.4
abdulka01 1983,Kareem Abdul-Jabbar,1970,1989,7-2,225,35,LAL,NBA,C,15,,39.2,10.9,19.1,.568,0.0,0.1,.000,10.9,19.1,.570,.568,5.3,7.1,.755,1.7,6.0,7.7,2.8,1.1,3.7,3.3,4.1,27.1
abdulka01 1984,Kareem Abdul-Jabbar,1970,1989,7-2,225,36,LAL,NBA,C,21,,36.5,9.8,17.7,.555,0.0,0.0,,9.8,17.7,.555,.555,4.3,5.7,.750,2.7,5.6,8.2,3.8,1.1,2.1,2.1,3.4,23.9
abdulka01 1985,Kareem Abdul-Jabbar,1970,1989,7-2,225,37,LAL,NBA,C,19,19,32.1,8.8,15.8,.560,0.0,0.0,,8.8,15.8,.560,.560,4.2,5.4,.777,2.6,5.5,8.1,4.0,1.2,1.9,2.7,3.5,21.9
