id,Name,From,To,Height,Weight,Age,Year,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,score2
abdulta01,Tariq Abdul-Wahad,1998,2003,198.12,101.15109851000001,24.0,1999,SAC,NBA,SG,5,5.0,19.8,3.0,6.6,0.455,0.0,0.2,0.0,3.0,6.4,0.469,0.455,2.6,3.2,0.813,1.2,2.6,3.8,0.8,0.8,0.8,0.6,1.6,8.6,7.3190781944866785
abdulta01,Tariq Abdul-Wahad,1998,2003,198.12,101.15109851000001,28.0,2003,DAL,NBA,SG,8,0.0,9.9,1.1,3.8,0.3,0.0,0.3,0.0,1.1,3.5,0.321,0.3,0.9,1.0,0.875,1.4,1.4,2.8,0.9,0.0,0.0,0.1,0.8,3.1,3.4446366248246796
abdulma02,Mahmoud Abdul-Rauf,1991,2001,185.42,73.48196394,24.0,1994,DEN,NBA,PG,12,12.0,28.3,4.8,12.8,0.37,1.0,3.1,0.324,3.8,9.8,0.385,0.409,2.4,2.6,0.935,0.3,1.3,1.5,2.5,0.4,0.1,1.2,2.4,12.9,8.985793499190102
abdulma02,Mahmoud Abdul-Rauf,1991,2001,185.42,73.48196394,25.0,1995,DEN,NBA,PG,3,2.0,25.3,4.0,11.0,0.364,0.7,4.0,0.167,3.3,7.0,0.476,0.394,4.7,4.7,1.0,0.7,1.0,1.7,1.7,0.7,0.0,2.7,2.7,13.3,9.662415610442702
abdursh01,Shareef Abdur-Rahim,1997,2008,205.74,102.05828325,29.0,2006,SAC,NBA,PF,6,0.0,21.5,3.8,7.2,0.535,0.0,0.5,0.0,3.8,6.7,0.575,0.535,1.5,2.5,0.6,1.3,3.5,4.8,1.2,0.3,0.0,2.2,4.5,9.2,7.264419303920396
abrinal01,Álex Abrines,2017,2019,198.12,90.718474,23.0,2017,OKC,NBA,SG,5,0.0,16.0,1.6,4.6,0.348,1.0,3.4,0.294,0.6,1.2,0.5,0.457,0.6,0.8,0.75,0.4,1.4,1.8,0.8,0.0,0.0,0.0,1.6,4.8,3.388227774032596
abrinal01,Álex Abrines,2017,2019,198.12,90.718474,24.0,2018,OKC,NBA,SG,6,0.0,18.3,1.3,3.3,0.4,1.0,2.2,0.462,0.3,1.2,0.286,0.55,0.3,0.3,1.0,0.5,2.2,2.7,0.3,0.8,0.3,0.2,1.8,4.0,3.607591944339646
abdelal01,Alaa Abdelnaby,1991,1995,208.28,108.8621688,22.0,1991,POR,NBA,PF,5,0.0,2.6,0.4,1.2,0.333,0.0,0.0,0.0,0.4,1.2,0.333,0.333,0.0,0.0,0.0,0.2,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.8,1.0121495923520196
abdelal01,Alaa Abdelnaby,1991,1995,208.28,108.8621688,23.0,1992,POR,NBA,PF,8,0.0,3.1,0.6,1.3,0.5,0.0,0.0,0.0,0.6,1.3,0.5,0.5,0.3,0.5,0.5,0.0,0.5,0.5,0.3,0.0,0.0,0.3,0.5,1.5,1.2947013784003119
abdelal01,Alaa Abdelnaby,1991,1995,208.28,108.8621688,24.0,1993,BOS,NBA,PF,4,4.0,17.0,2.8,6.0,0.458,0.0,0.0,0.0,2.8,6.0,0.458,0.458,0.0,0.0,0.0,0.5,2.8,3.3,0.3,0.0,0.3,2.3,1.8,5.5,3.108536611392335
abdulka01,Kareem Abdul-Jabbar,1970,1989,218.44000000000003,102.05828325,30.0,1978,LAL,NBA,C,3,0.0,44.7,12.7,24.3,0.521,0.0,0.0,0.0,12.7,24.3,0.521,0.521,1.7,3.0,0.556,4.7,9.0,13.7,3.7,0.7,4.0,4.7,4.7,27.0,21.66983326111555
abdulka01,Kareem Abdul-Jabbar,1970,1989,218.44000000000003,102.05828325,31.0,1979,LAL,NBA,C,8,0.0,45.9,11.0,19.0,0.579,0.0,0.0,0.0,11.0,19.0,0.579,0.579,6.5,7.8,0.839,2.3,10.4,12.6,4.8,1.0,4.1,3.6,3.3,28.5,26.93122324981252
abdulka01,Kareem Abdul-Jabbar,1970,1989,218.44000000000003,102.05828325,32.0,1980,LAL,NBA,C,15,0.0,41.2,13.2,23.1,0.572,0.0,0.0,0.0,13.2,23.1,0.572,0.572,5.5,7.0,0.79,3.4,8.7,12.1,3.1,1.1,3.9,3.7,3.4,31.9,26.28716617254806
abdulka01,Kareem Abdul-Jabbar,1970,1989,218.44000000000003,102.05828325,33.0,1981,LAL,NBA,C,3,0.0,44.7,10.0,21.7,0.462,0.0,0.0,0.0,10.0,21.7,0.462,0.462,6.7,9.3,0.714,4.3,12.3,16.7,4.0,1.0,2.7,3.7,4.7,26.7,23.054640655063817
abdulka01,Kareem Abdul-Jabbar,1970,1989,218.44000000000003,102.05828325,34.0,1982,LAL,NBA,C,14,0.0,35.2,8.2,15.8,0.52,0.0,0.0,0.0,8.2,15.8,0.52,0.52,3.9,6.2,0.632,2.4,6.1,8.5,3.6,1.0,3.2,2.9,3.2,20.4,17.37415311299297
abdulka01,Kareem Abdul-Jabbar,1970,1989,218.44000000000003,102.05828325,35.0,1983,LAL,NBA,C,15,0.0,39.2,10.9,19.1,0.568,0.0,0.1,0.0,10.9,19.1,0.57,0.568,5.3,7.1,0.755,1.7,6.0,7.7,2.8,1.1,3.7,3.3,4.1,27.1,21.55323325453211
abdulka01,Kareem Abdul-Jabbar,1970,1989,218.44000000000003,102.05828325,36.0,1984,LAL,NBA,C,21,0.0,36.5,9.8,17.7,0.555,0.0,0.0,0.0,9.8,17.7,0.555,0.555,4.3,5.7,0.75,2.7,5.6,8.2,3.8,1.1,2.1,2.1,3.4,23.9,20.923310562048126
